sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
143723	497C	497C_S341_L001_R1_001.fastq.gz	0913355f6aee98f96823d100dc86008ad340b5b1b9b25efa75a5c9c7af40dfd7	497C_S341_L001_R2_001.fastq.gz	f45b63e5718872ba67873fd4dbb185613cc2a60ccc7e39f29e1832f63aa84b20	679	20220112_matsuda	2805	1588	56	1588	56	0	0	0	0	1579	9	0	0	0	12	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143765	745A	745A_S327_L001_R1_001.fastq.gz	2e7c57f6ab72317bb7448ad38c5d33f399f1e292137534c5990f56584d32a3bd	745A_S327_L001_R2_001.fastq.gz	7bb34608aa7b501cbfbfbccef3f4dc6e47d19549d5a5da0917fbeefa24a4f687	679	20220112_matsuda	5838	3866	164	3866	164	0	0	0	0	3745	10	0	0	0	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143766	745B	745B_S328_L001_R1_001.fastq.gz	2bf0e6d12144f25a82808fd88acbc1d248d59672209b6dcb570f887e5738c517	745B_S328_L001_R2_001.fastq.gz	7352d1d7db328735d919016f9607f48f7d08448684c0ca35cd58705b8fe1ccbf	679	20220112_matsuda	4530	2652	91	2652	91	0	0	0	0	2609	9	0	0	0	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143668	1292B	1292B_S319_L001_R2_001.fastq.gz	f8e16a98c87aa49ac8ab687c2811f365bdc50e6a7e33af8cef54fff8e1a9bbdd	1292B_S319_L001_R1_001.fastq.gz	4771cbcff98fdbd6e0631ef5d703521b9d52eb3c438e7066da590b1e82de4c4c	679	20220112_matsuda	8521	5901	241	5901	241	0	0	0	0	5720	13	0	0	0	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143676	151A	151A_S375_L001_R1_001.fastq.gz	412b67c023f60d4984ea4fd54063bbf85ea69fd29074b83b45d9a291635cd03e	151A_S375_L001_R2_001.fastq.gz	e8c661821ccad82a4bab7951aa976521a10e172a075ca5f6dafa690ebdfc19af	679	20220112_matsuda	4131	2657	94	2657	94	0	0	0	0	2611	11	0	0	0	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143667	1292A	1292A_S318_L001_R2_001.fastq.gz	a8b0d90f1bd294155f1fc620e3a18aa6648aa3cf06387c58a466db845d087eaa	1292A_S318_L001_R1_001.fastq.gz	663276ff6530c9543e64362fdc6b805b4ad00db658293bff49c86787f163cab2	679	20220112_matsuda	5708	3697	145	3697	145	0	0	0	0	3601	13	0	0	0	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143722	497B	497B_S340_L001_R1_001.fastq.gz	8af2d09a01d7a40ef55c77afac8c2ea0f6a623ea50d610a63276bcc18ab9e6c6	497B_S340_L001_R2_001.fastq.gz	b3f17a0be9db11e2777100f3be24078dd4d07034863e8fddaef91da583af1a3d	679	20220112_matsuda	4804	2959	120	2959	120	0	0	0	0	2894	10	0	0	0	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143677	151B	151B_S376_L001_R1_001.fastq.gz	326ea8e083530b95533fb3ced4d60e0694d9f8e4c8304366be4ae3f745345932	151B_S376_L001_R2_001.fastq.gz	575ec2460780bc13b4ffcddbcb000a0d363378ac75c2d4df28e3efb5f742d83f	679	20220112_matsuda	5058	3086	127	3086	127	0	0	0	0	3001	13	0	0	0	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143645	1222C	1222C_S323_L001_R1_001.fastq.gz	6ad0ad8de409a009d26ad881ed6b8f9922a4209b23a82c550a8db16d698e5b75	1222C_S323_L001_R2_001.fastq.gz	e50da3d3f243630871ca19cb2e60ecc8403dd64c7e13b7d1172c4720f2cdf278	679	20220112_matsuda	5449	3610	158	3610	158	0	0	0	0	3509	12	0	0	0	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143643	1222A	1222A_S321_L001_R1_001.fastq.gz	cdb375eb722749eb7ef19e57d18306ed7b8fdc04fec7593f5acc1511243afe07	1222A_S321_L001_R2_001.fastq.gz	9522109044fc158b67222ec61bda98541b35ba1e88df0b7a3f5522735b1399db	679	20220112_matsuda	3540	2152	81	2152	81	0	0	0	0	2118	12	0	0	0	9	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143669	1292C	1292C_S320_L001_R2_001.fastq.gz	9103d98bda9ace704b25ed30cef8f3bae84a41a1f5ff7dbde689564ca51866dd	1292C_S320_L001_R1_001.fastq.gz	9e24036e329cba01dc1cedae98b0e39c58ed6673326d42ed7f6886c1cb5eaf44	679	20220112_matsuda	9090	6175	282	6175	282	0	0	0	0	5995	14	0	0	0	25	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143635	1212B	1212B_S307_L001_R1_001.fastq.gz	afd9ee4a390c5b60727dd288844905f018410c4eefad3bcfbf17d99c2b8193e0	1212B_S307_L001_R2_001.fastq.gz	0b065d4eb9656b5e119fd2de229a3383eed9491ffd7c8d7d6624c1dc9682f87e	679	20220112_matsuda	4194	2655	103	2655	103	0	0	0	0	2587	13	0	0	0	10	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
